frequency_hz,target_db,fitted_iir_db,error_db
20,-0.40253308,-0.52930834,-0.12677526
20.180938,-0.40029652,-0.53115158,-0.13085506
20.363512,-0.39803972,-0.53302672,-0.134987
20.547738,-0.39633933,-0.53493428,-0.13859495
20.733631,-0.39672718,-0.5368748,-0.14014762
20.921206,-0.39711854,-0.5388488,-0.14173027
21.110477,-0.39751343,-0.54085685,-0.14334342
21.301461,-0.39941743,-0.54289949,-0.14348206
21.494173,-0.40455817,-0.54497729,-0.14041912
21.688628,-0.40974541,-0.54709081,-0.1373454
21.884842,-0.41497957,-0.54924063,-0.13426106
22.082832,-0.42340956,-0.55142734,-0.12801778
22.282613,-0.43444795,-0.55365153,-0.11920359
22.484201,-0.44558619,-0.55591381,-0.11032761
22.687613,-0.45682521,-0.55821478,-0.10138957
22.892865,-0.47297439,-0.56055506,-0.087580672
23.099974,-0.48972094,-0.56293528,-0.073214344
23.308956,-0.50661899,-0.56535608,-0.058737086
23.519829,-0.52503657,-0.56781809,-0.042781523
23.73261,-0.54577387,-0.57032197,-0.024548107
23.947316,-0.56669878,-0.57286839,-0.0061696139
24.163965,-0.58781299,-0.57545801,0.012354983
24.382573,-0.60995935,-0.5780915,0.031867846
24.60316,-0.63232984,-0.58076957,0.051560274
24.825741,-0.65490271,-0.58349289,0.071409823
25.050337,-0.67635449,-0.58626218,0.090092315
25.276964,-0.69730815,-0.58907815,0.10823
25.505642,-0.71845137,-0.59194152,0.12650985
25.736388,-0.7378909,-0.59485302,0.14303789
25.969222,-0.75507673,-0.59781339,0.15726334
26.204162,-0.77241803,-0.60082338,0.17159464
26.441228,-0.78824057,-0.60388376,0.18435681
26.680439,-0.80048338,-0.60699528,0.1934881
26.921813,-0.81283695,-0.61015871,0.20267824
27.165372,-0.82396596,-0.61337486,0.2105911
27.411134,-0.83155009,-0.6166445,0.21490558
27.659119,-0.83920283,-0.61996845,0.21923437
27.909347,-0.84590377,-0.62334751,0.22255626
28.16184,-0.85036124,-0.62678251,0.22357873
28.416617,-0.85485903,-0.63027427,0.22458476
28.673698,-0.85894114,-0.63382364,0.2251175
28.933106,-0.86243701,-0.63743146,0.22500556
29.19486,-0.86596451,-0.64109858,0.22486593
29.458982,-0.87011093,-0.64482588,0.22528505
29.725494,-0.87466762,-0.64861422,0.2260534
29.994417,-0.87926554,-0.6524645,0.22680104
30.265773,-0.88575648,-0.6563776,0.22937888
30.539584,-0.8925817,-0.66035442,0.23222728
30.815872,-0.89987262,-0.66439587,0.23547675
31.094659,-0.90890153,-0.66850287,0.24039865
31.375969,-0.91801212,-0.67267635,0.24533576
31.659823,-0.92770521,-0.67691724,0.25078797
31.946246,-0.93784591,-0.68122648,0.25661943
32.235259,-0.94804575,-0.68560502,0.26244073
32.526888,-0.95727751,-0.69005383,0.26722368
32.821155,-0.96659278,-0.69457386,0.27201893
33.118084,-0.97433583,-0.69916609,0.27516974
33.417699,-0.9807009,-0.70383151,0.27686938
33.720025,-0.98670486,-0.70857111,0.27813375
34.025086,-0.98872261,-0.71338588,0.27533673
34.332906,-0.99075861,-0.71827682,0.27248179
34.643512,-0.98953029,-0.72324495,0.26628534
34.956928,-0.98691993,-0.72829128,0.25862865
35.273179,-0.98296862,-0.73341684,0.24955178
35.592291,-0.97671566,-0.73862266,0.238093
35.91429,-0.97028198,-0.74390978,0.2263722
36.239202,-0.96234072,-0.74927924,0.21306148
36.567054,-0.95432761,-0.75473209,0.19959553
36.897871,-0.946874,-0.76026937,0.18660462
